,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
0,中国第一汽车集团公司,解放牌,纯电动售货车,CA5120XSHBEV21,nan,2017,8,2500,11990,3250,12000,10200,77.60,三元材料锂离子蓄电池,nan,110.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3500/1800,永磁同步电机,60,nan,nan,nan,112,nan,nan,nan,4.00,配置ID： NC237840
1,中国第一汽车集团公司,解放牌,纯电动城市客车,CA6100URBEV23,nan,2017,8,2500,10490,"3100,3300",17000,"11000,11250",177.41,磷酸铁锂电池,16.60,103.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/2400/2500,永磁同步电机,69,nan,nan,nan,292,nan,0.217,nan,nan,配置ID： NC229710
2,一汽吉林汽车有限公司,森雅牌,纯电动轿车,CA7007REV,nan,2017,8,1780,4305,1655,1845,1470,nan,三元锂离子电池,nan,117.25,nan,19.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/12000/228,永磁同步电机,140,nan,nan,180,nan,nan,nan,130,nan,配置ID： NC238200
3,东风汽车公司,东风牌,纯电动厢式运输车,EQ5022XXYTBEV3,nan,2017,8,1630,4178,1898,2185,1450,44.00,三元锂电池,nan,122.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64/8200/230,高效异步驱动电机,85,nan,nan,232,nan,nan,0.493,nan,nan,配置ID： NC237627
4,东风汽车公司,东风牌,纯电动厢式运输车,EQ5040XXYACBEV12,nan,2017,8,2100,5995,"2890,3090",4495,3175,83.60,三元材料锂离子电池,nan,119.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3500/955,永磁同步电机,90,nan,nan,nan,255,nan,0.411,nan,nan,配置ID： NC233269
5,东风汽车公司,东风牌,纯电动厢式运输车,EQ5040XXYACBEV13,nan,2017,8,"2000,2205,2305",5995,"2890,3090",4495,3060,83.87,磷酸铁锂电池,nan,114.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3500/955,永磁同步电机,90,nan,nan,nan,245,nan,0.403,nan,nan,配置ID： NC239038
6,东风汽车公司,东风牌,纯电动流动服务车,EQ5041XDWACBEV,nan,2017,8,"2036, 2036","5800,5980, 5800,5980","2375,2590,2800, 2375,2590,2800","4500, 4500","3300, 3300","80.40, 80.40","三元材料锂离子, 三元材料锂离子",nan,"109.20, 109.20",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"90/5000/480, 90/6000/450","永磁同步牵引电动机, 永磁同步电机","100, 100",nan,nan,nan,"300, 300",nan,nan,nan,"5.97, 5.97","配置ID： NC186752, 配置ID： NC186749"
7,东风汽车公司,东风牌,纯电动厢式运输车,EQ5041XXYACBEV15,nan,2017,8,2036,"5800,5980","2375,2590",4495,2800,71.38,三元材料锂离子电池,nan,116.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/480,永磁同步电机,100,nan,nan,nan,300,nan,0.274,nan,nan,配置ID： NC239421
8,东风汽车公司,东风牌,纯电动厢式运输车,EQ5044XXYACBEV,nan,2017,8,2040,5990,2740,4495,2800,75.00,锰酸锂材料锂离子,nan,106.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92/4500/750,永磁同步电机,100,nan,nan,nan,280,nan,0.306,nan,nan,配置ID： NC239137
9,东风汽车公司,东风牌,纯电动厢式运输车,EQ5045XXYTBEV11,nan,2017,8,"2020,2100,2200","5900,5995","2940,3000",4495,3120,90.40,三元锂离子电池,nan,127.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94/6000/320,永磁同步电机,90,nan,nan,nan,322,nan,0.344,nan,nan,配置ID： NC239754
